"Table 3. Space Economy Value Added Price Indexes by Industry","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14"
"[index numbers, 2017 = 100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Last updated: March 31, 2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Space economy1","108.85299999999999","106.217","103.23099999999999","100.959","99.567999999999998","100","101.599","104.337","105.283","112.24299999999999","116.321","122.908"
"2","Private industries","113.087","109.355","105.039","102.017","99.997","100","101.13500000000001","104.08799999999999","105.027","113.4","117.03400000000001","123.825"
"3","Agriculture, forestry, fishing, and hunting","…","…","…","…","…","…","…","…","…","…","…","…"
"4","Farms","…","…","…","…","…","…","…","…","…","…","…","…"
"5","Forestry, fishing, and related activities","…","…","…","…","…","…","…","…","…","…","…","…"
"6","Mining","94.206000000000003","94.918000000000006","97.207999999999998","99.546000000000006","97.082999999999998","100","103.62","104.85899999999999","109.125","110.85599999999999","113.01","114.749"
"7","Oil and gas extraction","94.218999999999994","94.94","97.24","99.584000000000003","97.1","100","103.56100000000001","104.74","108.789","110.277","112.273","113.928"
"8","Mining, except oil and gas","99.837999999999994","94.343000000000004","96.662999999999997","99.052999999999997","96.905000000000001","100","103.934","105.514","110.711","113.607","116.71","118.93"
"9","Support activities for mining","94.251999999999995","94.945999999999998","97.207999999999998","99.528000000000006","97.081999999999994","100","103.681","104.976","109.52","111.54600000000001","113.855","115.67700000000001"
"10","Utilities","104.66200000000001","103.54900000000001","102.934","102.711","99.975999999999999","100","99.506","98.555999999999997","98.049000000000007","96.744","97.591999999999999","98.075999999999993"
"11","Construction","86.314999999999998","88.498000000000005","91.358999999999995","94.373000000000005","97.244","100","103.36799999999999","109.89100000000001","116.663","120.28700000000001","133.304","146.02099999999999"
"12","Manufacturing","142.44300000000001","137.161","126.661","114.91800000000001","104.074","100","95.567999999999998","93.028000000000006","91.576999999999998","88.75","88.822000000000003","91.16"
"13","Durable goods","142.941","137.6","126.902","115.009","104.12","100","95.513000000000005","92.953999999999994","91.47","88.62","88.682000000000002","91.022000000000006"
"14","Wood products","93.84","94.515000000000001","96.816999999999993","99.147000000000006","96.933999999999997","100","103.98","105.63500000000001","111.122","114.184","117.372","119.607"
"15","Nonmetallic mineral products","95.153000000000006","95.441000000000003","97.744","100.02","96.944000000000003","100","104.20699999999999","105.65900000000001","111.6","114.613","117.40300000000001","119.395"
"16","Primary metals","94.319000000000003","97.256","98.343999999999994","101.71299999999999","98.998000000000005","100","110.607","110.929","116.848","150.80799999999999","147.857","146.73400000000001"
"17","Fabricated metal products","93.632999999999996","94.483999999999995","96.864000000000004","99.352000000000004","97.275999999999996","100","104.497","106.407","112.202","117.117","119.702","122.099"
"18","Machinery","94.74","95.445999999999998","97.524000000000001","99.582999999999998","97.447999999999993","100","103.417","105.018","109.748","110.97","112.92400000000001","116.01600000000001"
"19","Computer and electronic products2","182.75399999999999","170.947","147.70500000000001","124.23699999999999","106.471","100","92.986999999999995","88.251000000000005","85.066999999999993","80.423000000000002","78.584999999999994","79.347999999999999"
"20","Electrical equipment, appliances, and components","103.76600000000001","97.271000000000001","95.370999999999995","96.739000000000004","97.253","100","102.503","108.874","112.506","135.119","144.55199999999999","152.12200000000001"
"21","Motor vehicles, bodies and trailers, and parts","117.021","114.66800000000001","108.809","101.83","101.09099999999999","100","99.311999999999998","99.918999999999997","97.331000000000003","97.784000000000006","104.63200000000001","104.634"
"22","Other transportation equipment3","96.108000000000004","97.789000000000001","100.07599999999999","100.995","100.10299999999999","100","100.128","101.233","102.245","101.68","105.633","111.40300000000001"
"23","Furniture and related products","94.111000000000004","94.778000000000006","97.087000000000003","99.433999999999997","96.974000000000004","100","104.009","105.53700000000001","111.10899999999999","114.126","116.997","119.086"
"24","Miscellaneous manufacturing","94.15","94.816999999999993","97.138000000000005","99.477999999999994","96.932000000000002","100","104.101","105.666","111.419","114.593","117.581","119.711"
"25","Nondurable goods","101.78100000000001","100.166","101.488","102.32899999999999","97.561999999999998","100","103.78","104.752","110.678","112.849","115.145","117.029"
"26","Food and beverage and tobacco products","94.263999999999996","94.912000000000006","97.245000000000005","99.588999999999999","96.921000000000006","100","104.143","105.679","111.498","114.599","117.51600000000001","119.621"
"27","Textile mills and textile product mills","97.751999999999995","97.242000000000004","99.765000000000001","101.917","96.769000000000005","100","105.164","106.15600000000001","114.029","116.504","118.312","119.672"
"28","Apparel and leather and allied products","105.72499999999999","100.616","103.377","105.179","96.637","100","106.34099999999999","106.614","116.871","118.35599999999999","118.767","119.28700000000001"
"29","Paper products","96.272000000000006","95.942999999999998","98.397000000000006","100.61","96.864999999999995","100","104.446","105.84","112.14700000000001","115.01300000000001","117.777","119.736"
"30","Printing and related support activities","171.53800000000001","141.541","147.46600000000001","142.34899999999999","98.927999999999997","100","111.831","102.41200000000001","128.86199999999999","119.955","111.46299999999999","106.991"
"31","Petroleum and coal products","94.088999999999999","94.819000000000003","97.117000000000004","99.441000000000003","96.980999999999995","100","104.035","105.608","111.28","114.39100000000001","117.35","119.485"
